gene	consensus_z	consensus_p	consensus_fdr	n_primary_endpoints	n_positive_endpoint_z	n_negative_endpoint_z	mean_abs_endpoint_z	direction_in_chk1i_sensitive_state	abs_consensus_z
PPM1H	-8.611531011628877	7.20912316495866e-18	1.3840074652087635e-13	3	0	3	4.971869747698743	lower_in_sensitive	8.611531011628877
MAGIX	-8.260875585250336	1.4460775155701858e-16	1.3880898071958213e-12	3	0	3	4.769418742886288	lower_in_sensitive	8.260875585250336
CACFD1	-7.855816499314747	3.9717619931547e-15	2.5416628914861308e-11	3	0	3	4.535557770583672	lower_in_sensitive	7.855816499314747
TTC39A	-7.67644530382214	1.635638448187484e-14	7.850246732075829e-11	3	0	3	4.431997762581151	lower_in_sensitive	7.67644530382214
PGAP2	-7.605198182004104	2.84467634947217e-14	1.0922419311433344e-10	3	0	3	4.390863217620521	lower_in_sensitive	7.605198182004104
FAM174A	-7.449759084405808	9.351083216743296e-14	2.992034926583963e-10	3	0	3	4.301120412779553	lower_in_sensitive	7.449759084405808
VPS11	-7.373693429715993	1.6596459582267625e-13	4.5516975865767695e-10	3	0	3	4.257203886568303	lower_in_sensitive	7.373693429715993
NKG7	7.350325904927526	1.9772415854029037e-13	4.744885494570618e-10	3	3	0	4.2437126398413865	higher_in_sensitive	7.350325904927526
ZNF233	-7.2783073831541625	3.380344299690456e-13	7.210649985050819e-10	3	0	3	4.202132726908896	lower_in_sensitive	7.2783073831541625
CNPPD1	-7.171740906162266	7.404998838433707e-13	1.421611677002503e-09	3	0	3	4.140606542731034	lower_in_sensitive	7.171740906162266
RALGPS1	-7.096992305035785	1.275011547761296e-12	2.225242881265578e-09	3	0	3	4.097450417749113	lower_in_sensitive	7.096992305035785
RNF103	-7.016847022844435	2.2693083204777026e-12	3.6305150947109113e-09	3	0	3	4.051178517501659	lower_in_sensitive	7.016847022844435
SLC2A8	-6.877334121977714	6.098296623653861e-12	9.00577681391591e-09	3	0	3	3.970630706630832	lower_in_sensitive	6.877334121977714
CATSPERG	-6.8486862210678945	7.45312698521831e-12	1.0220366561587222e-08	3	0	3	3.9540908333288294	lower_in_sensitive	6.8486862210678945
ENPP5	-6.8096926107234	9.780750271833173e-12	1.2518056247910216e-08	3	0	3	3.93157786189976	lower_in_sensitive	6.8096926107234
ESR1	-6.760068249865278	1.379267521993866e-11	1.65494861795239e-08	3	0	3	3.9029272237999604	lower_in_sensitive	6.760068249865278
C16orf74	6.746020037773543	1.5195564329508966e-11	1.716026141164195e-08	3	3	0	3.8948164847671642	higher_in_sensitive	6.746020037773543
TMEM86A	-6.664865638462383	2.6490759537697744e-11	2.825386675581785e-08	3	0	3	3.8479619704789436	lower_in_sensitive	6.664865638462383
C2CD2L	-6.6314717035249355	3.3235626156018744e-11	3.35819763654341e-08	3	0	3	3.8286819731535076	lower_in_sensitive	6.6314717035249355
RETREG2	-6.605734906417245	3.955501489944228e-11	3.728202750053751e-08	3	0	3	3.813822826415304	lower_in_sensitive	6.605734906417245
MLKL	6.596479504920312	4.21035675133339e-11	3.728202750053751e-08	3	3	0	3.8084792178695914	higher_in_sensitive	6.596479504920312
COX14	-6.594311307131933	4.272344020272034e-11	3.728202750053751e-08	3	0	3	3.807227408292814	lower_in_sensitive	6.594311307131933
PDLIM7	6.579756341684776	4.7121983950331626e-11	3.933251512515072e-08	3	3	0	3.7988240950738525	higher_in_sensitive	6.579756341684776
TTC6	-6.561838121421352	5.3148496991705133e-11	4.1532119026276755e-08	3	0	3	3.7884790057813653	lower_in_sensitive	6.561838121421352
CPEB3	-6.559236653372887	5.408391372314402e-11	4.1532119026276755e-08	3	0	3	3.786977047503296	lower_in_sensitive	6.559236653372887
SC5D	-6.547495411180654	5.851001823495509e-11	4.216425091470789e-08	3	0	3	3.7801982381629897	lower_in_sensitive	6.547495411180654
TMEM150C	-6.545190950591189	5.94194146825323e-11	4.216425091470789e-08	3	0	3	3.778867757221325	lower_in_sensitive	6.545190950591189
VPS37C	-6.540055669007436	6.14959384108668e-11	4.216425091470789e-08	3	0	3	3.7759029010165808	lower_in_sensitive	6.540055669007436
CDC20	6.529725874503735	6.589017399498363e-11	4.243147428472509e-08	3	3	0	3.769938991379196	higher_in_sensitive	6.529725874503735
LMBRD2	-6.5287833336962535	6.630608545378439e-11	4.243147428472509e-08	3	0	3	3.769394815190274	lower_in_sensitive	6.5287833336962535
TMEM9B	-6.508759482496504	7.577393106493877e-11	4.69260622124095e-08	3	0	3	3.7578340393098855	lower_in_sensitive	6.508759482496504
KLHDC9	-6.503340546336157	7.855568369527455e-11	4.7128500486933775e-08	3	0	3	3.754705415058988	lower_in_sensitive	6.503340546336157
DEGS2	-6.444178698784641	1.1622807724741236e-10	6.761656445441887e-08	3	0	3	3.7205483064493645	lower_in_sensitive	6.444178698784641
KRTAP5-2	-6.434548164369094	1.238411652595802e-10	6.818527348981347e-08	3	0	3	3.714988114812108	lower_in_sensitive	6.434548164369094
TCTA	-6.433975359151075	1.2430902032208936e-10	6.818527348981347e-08	3	0	3	3.7146574055652923	lower_in_sensitive	6.433975359151075
PCP4	-6.419994389585009	1.3627936761206037e-10	7.181627755564279e-08	3	0	3	3.706585489022792	lower_in_sensitive	6.419994389585009
PARD3B	-6.416407584881779	1.3952758329472333e-10	7.181627755564279e-08	3	0	3	3.7045146463618512	lower_in_sensitive	6.416407584881779
KRTAP5-1	-6.413569579987865	1.4215119007784278e-10	7.181627755564279e-08	3	0	3	3.702876123472388	lower_in_sensitive	6.413569579987865
DUSP7	6.401047546164192	1.5431450491972147e-10	7.596230424227724e-08	3	3	0	3.69564652387349	higher_in_sensitive	6.401047546164192
CCNA2	6.389029852599012	1.6694146984725627e-10	7.91237595308236e-08	3	3	0	3.6887081052585944	higher_in_sensitive	6.389029852599012
WWC3	-6.387146233277237	1.6901000570993354e-10	7.91237595308236e-08	3	0	3	3.687620597136117	lower_in_sensitive	6.387146233277237
GEMIN8	-6.383486152499943	1.7310125535444271e-10	7.91237595308236e-08	3	0	3	3.6855074485140906	lower_in_sensitive	6.383486152499943
CYB5R1	-6.37341692752633	1.8486243024880878e-10	8.068618819919803e-08	3	0	3	3.679693978765044	lower_in_sensitive	6.37341692752633
ATP6V0A1	-6.373364959128791	1.8492511098889017e-10	8.068618819919803e-08	3	0	3	3.6796639747967355	lower_in_sensitive	6.373364959128791
ARFGEF3	-6.340093083547963	2.2962638412560946e-10	9.595210681300996e-08	3	0	3	3.6604544484737005	lower_in_sensitive	6.340093083547963
PNPLA7	-6.33990344357025	2.2990920478166776e-10	9.595210681300996e-08	3	0	3	3.660344959781519	lower_in_sensitive	6.33990344357025
TMEM254	-6.3349072406976505	2.3748410500640995e-10	9.700467761517145e-08	3	0	3	3.6574604007080977	lower_in_sensitive	6.3349072406976505
