vina_rank	gene_symbol_clean	protein_accession	localization_scope	dockability_grade_internal	log2FC	p_value	fdr	vina_best_score_kcal_mol	receptor_pdb_file	selected_structure_label	selected_native_ligand_code
1	PKMYT1	Q99640	nuclear	A	-1.5480070818828997	5.9686730173425145e-05	0.0005701396590402	-9.611	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/PKMYT1_receptor.pdb	PDB 13LV	A1DG4
2	TGFBR1	P36897	nuclear	A	-1.080672058761076	0.0113198938356587	0.0326484138959334	-9.507	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/TGFBR1_receptor.pdb	PDB 1PY5	PY1
3	USP1	O94782	nuclear	A	-1.467844512976141	0.0203554683166128	0.0523288511836011	-9.462	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/USP1_receptor.pdb	PDB 7ZH4	JDA
4	AURKB	Q96GD4	nuclear	A	-2.475176089660816	1.8006326927786017e-07	1.3812125928243134e-05	-9.289	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/AURKB_receptor.pdb	PDB 4AF3	VX6
5	TUT1	Q9H6E5	nuclear	A	-1.1520952120032444	2.6285353788070142e-05	0.0003170340488796	-9.147	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/TUT1_receptor.pdb	PDB 5WU2	UTP
6	OGFOD1	Q8N543	nuclear	A	-1.0369630381224768	2.6320854768621316e-07	1.6842041030304936e-05	-8.99	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/OGFOD1_receptor.pdb	PDB 4NHX	OGA
7	CHEK1	O14757	nuclear	A	-1.6315829194475129	3.215765274707434e-06	7.11968556738433e-05	-8.953	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/CHEK1_receptor.pdb	PDB 10HY	A1C5F
8	TYMS	P04818	dual_nucleus_mitochondrion	A	-2.7633727982022123	2.2183105105812734e-10	3.450559627500525e-07	-8.725	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/TYMS_receptor.pdb	PDB 1HVY	D16
9	FIGNL1	Q6PIW4	nuclear	A	-2.1078211669916653	9.338801794552432e-07	3.3139654592444474e-05	-8.689	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/FIGNL1_receptor.pdb	PDB 3D8B	ADP
10	TK1	P04183	nuclear	A	-2.812779989655585	3.4748639255503203e-10	3.450559627500525e-07	-8.616	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/TK1_receptor.pdb	PDB 1XBT	TTP
11	KIF11	P52732	nuclear	A	-2.4436933010888957	1.4434182715746586e-06	4.4655372908086875e-05	-8.444	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/KIF11_receptor.pdb	PDB 1II6	ADP
12	BLM	P54132	nuclear	A	-1.5685841359013386	1.4695920704128364e-06	4.47068483407831e-05	-8.354	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/BLM_receptor.pdb	PDB 4O3M	ADP
13	METTL5	Q9NRN9	nuclear	A	-1.0388621867410397	2.415937080969724e-05	0.0002992924338154	-8.224	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/METTL5_receptor.pdb	PDB 6H2U	SAM
14	ENDOG	Q14249	dual_nucleus_mitochondrion	A	-1.6185027628256463	5.539555792685858e-09	1.621443758259742e-06	-8.173	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/ENDOG_receptor.pdb	PDB 9M0G	RE2
15	UBE2E1	P51965	nuclear	B	-1.5193792002203337	3.4770218096562086e-10	3.450559627500525e-07	-8.02	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/UBE2E1_receptor.pdb	PDB 3BZH	
16	KIFC1	Q9BW19	nuclear	A	-2.4909758582725647	5.002873562667732e-10	3.453801984990796e-07	-7.993	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/KIFC1_receptor.pdb	PDB 5WDH	ADP
17	UAP1	Q16222	nuclear	A	-1.001074866653136	2.1851902436114569e-07	1.5085758827259457e-05	-7.946	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/UAP1_receptor.pdb	PDB 1JV1	UD1
18	RRM2	P31350	nuclear	B	-1.7374175448451703	2.0705480609924166e-10	3.450559627500525e-07	-7.906	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/RRM2_receptor.pdb	PDB 3OLJ	
19	KIF2C	Q99661	nuclear	A	-1.6955241608230749	1.527035209367038e-09	7.73087025328886e-07	-7.496	/Users/liuhuashuo/Documents/New project/report/berberine_cm05_docking_analysis_plan_2026-06-15/vina_cm05_only_46_berberine_2026-06-17/receptors/KIF2C_receptor.pdb	PDB 2HEH	ADP
